timestamp,client_id,topic,temp,humidity,message_rate,is_attack,anomaly_prediction
2026-02-05 18:34:35,esp8266_node-db1b,iot/system/restart,110.2,61.88,179,1,1
2026-02-05 18:34:37,edge_gateway_01-192.168.0.193,iot/factory/line1/sensor01/humidity,20.48,68.76,3,0,0
2026-02-05 18:34:41,plc_line2-192.168.1.254,iot/factory/line2/sensor02/temp,31.04,63.62,6,0,0
2026-02-05 18:34:45,sensor_temp_01-f644,iot/factory/line1/sensor01/temp,32.48,62.34,2,0,0
2026-02-05 18:34:48,plc_line2-192.168.7.52,iot/factory/line2/sensor02/humidity,22.0,36.66,9,0,0
2026-02-05 18:34:51,mosquitto_pub-faee,iot/system/network/reset,101.89,62.06,33,1,1
2026-02-05 18:34:54,esp32_gateway-ffb6,iot/factory/#,149.52,7.72,59,1,1
2026-02-05 18:34:59,legacy_client-192.168.2.223,iot/factory/logs,131.43,57.75,124,1,1
2026-02-05 18:35:02,port_scanner-8be4,iot/debug/test,93.5,76.16,69,1,1
2026-02-05 18:35:04,plc_line1-a304,iot/factory/line2/sensor02/temp,30.27,64.64,3,0,0
2026-02-05 18:35:06,sensor_humid_01-4528,iot/factory/line1/sensor01/temp,33.99,54.16,8,0,0
2026-02-05 18:35:10,fake_humidity_node-3a1b,iot/factory/config/backup,99.77,83.07,71,1,1
2026-02-05 18:35:15,plc_line2-8cf6,iot/factory/line1/sensor01/humidity,24.25,45.23,9,0,0
2026-02-05 18:35:16,plc_line1-192.168.2.183,iot/factory/line2/sensor02/humidity,21.05,45.61,5,0,0
2026-02-05 18:35:21,port_scanner-192.168.5.186,iot/factory/line2/plc01/override,148.15,19.82,172,1,1
2026-02-05 18:35:24,plc_line2-192.168.4.88,iot/factory/line1/sensor01/temp,23.29,62.32,1,0,0
2026-02-05 18:35:27,edge_gateway_01-fc51,iot/factory/line1/sensor01/humidity,33.94,44.92,5,0,0
2026-02-05 18:35:32,unknown_client-55d7,iot/system/network/reset,149.72,47.7,28,1,1
2026-02-05 18:35:35,sensor_pressure_01-8ab5,iot/factory/line2/sensor02/humidity,21.51,61.0,5,0,0
2026-02-05 18:35:39,fake_temp_sensor-c9c5,iot/factory/diagnostics,82.74,93.43,34,1,1
2026-02-05 18:35:44,edge_gateway_01-192.168.0.130,iot/factory/line1/sensor01/humidity,26.15,41.54,5,0,0
2026-02-05 18:35:46,mqtt_explorer-b55c,iot/system/#,106.79,12.47,152,1,1
2026-02-05 18:35:51,sensor_pressure_01-22f8,iot/factory/line2/sensor02/temp,34.59,40.56,4,0,0
2026-02-05 18:35:52,sensor_temp_01-cf39,iot/factory/line1/sensor01/temp,20.73,66.32,5,0,0
2026-02-05 18:35:54,sensor_humid_01-90e6,iot/factory/line1/sensor01/temp,31.97,65.99,10,0,0
2026-02-05 18:35:58,plc_line2-192.168.2.73,iot/factory/line2/sensor02/temp,23.79,38.41,10,0,0
2026-02-05 18:36:02,sensor_humid_01-192.168.7.211,iot/factory/line1/sensor01/temp,20.29,41.97,7,0,0
2026-02-05 18:36:05,sensor_temp_01-192.168.5.54,iot/factory/line1/sensor01/humidity,31.97,48.75,2,0,0
2026-02-05 18:36:07,sensor_temp_01-f797,iot/factory/line1/sensor01/temp,21.37,53.41,6,0,0
2026-02-05 18:36:12,mosquitto_sub-8e2f,iot/system/#,143.63,58.47,20,1,1
2026-02-05 18:36:17,sensor_temp_01-0729,iot/factory/line2/sensor02/temp,20.24,60.26,5,0,0
2026-02-05 18:36:19,plc_line1-4a84,iot/factory/line1/sensor01/temp,23.79,52.88,9,0,0
2026-02-05 18:36:20,sensor_humid_01-c43f,iot/factory/line2/sensor02/temp,32.73,39.04,3,0,0
2026-02-05 18:36:23,plc_line2-9f5a,iot/factory/line1/sensor01/humidity,33.53,34.86,10,0,0
2026-02-05 18:36:25,plc_line2-192.168.10.159,iot/factory/line2/sensor02/temp,23.12,56.41,3,0,0
2026-02-05 18:36:26,sensor_humid_01-192.168.7.199,iot/factory/line2/sensor02/humidity,23.77,42.15,8,0,0
2026-02-05 18:36:29,remote_access_client-b9b2,iot/debug/test,147.16,11.82,100,1,1
2026-02-05 18:36:31,plc_line1-ff46,iot/factory/line1/sensor01/humidity,30.14,53.82,4,0,0
2026-02-05 18:36:32,mosquitto_pub-9dbb,iot/factory/cmd,100.39,11.89,90,1,1
2026-02-05 18:36:37,plc_line1-192.168.6.26,iot/factory/line2/sensor02/humidity,33.59,57.41,10,0,0
2026-02-05 18:36:38,engineering_workstation-c015,iot/factory/root,149.25,73.29,144,1,1
2026-02-05 18:36:43,plc_line2-192.168.9.129,iot/factory/line1/sensor01/humidity,22.14,33.83,2,0,0
2026-02-05 18:36:46,edge_gateway_01-2c65,iot/factory/line2/sensor02/humidity,20.54,37.53,4,0,0
2026-02-05 18:36:47,mqtt_explorer-e55b,iot/factory/credentials,83.64,35.72,68,1,1
